unit_id,difficulty_level,target_audience,grammar_focus,vocabulary_theme,word_urdu,word_roman,meaning_eng,grammatical_type,gender,root_origin,sentence_urdu,sentence_roman,sentence_english,confusing_forms,distractors
UNIT_05,intermediate,Type B,Compound Verbs,Household Activities,تیار کرنا,tayyar karna,to prepare,Verb Phrase,M,Compound,ماں کھانا تیار کر رہی ہے,maa khaana tayyar kar rahi hai,Mother is preparing food,تیار کیا|تیار کروں گا,بنانا|پکانا|رکھنا
UNIT_05,intermediate,Type B,Compound Verbs,Household Activities,دھونا,dhona,to wash,Verb,M,Hindi/Sanskrit,میں کپڑے دھو رہا ہوں,main kapre dho raha hoon,I am washing clothes,دھویا|دھوؤں گا,صاف کرنا|پونچھنا|سکھانا
UNIT_06,intermediate,Type B,Complex Sentences,Family Relations,رشتہ دار,rishtedaar,relative,Noun,M,Persian,ہمارے رشتہ دار آ رہے ہیں,hamare rishtedaar aa rahe hain,Our relatives are coming,رشتہ داروں|رشتہ داری,خاندان|کنبہ|برادری
UNIT_06,intermediate,Type B,Complex Sentences,Family Relations,خاندان,khandaan,family,Noun,M,Persian,ہمارا خاندان بہت بڑا ہے,hamara khandaan bohat bara hai,Our family is very big,خاندانی|خاندانوں,رشتہ دار|کنبہ|برادری
UNIT_06,intermediate,Type B,Complex Sentences,Family Relations,بھائی,bhai,brother,Noun,M,Hindi/Sanskrit,میرا بھائی ڈاکٹر ہے,mera bhai doctor hai,My brother is a doctor,بھائیوں|بھائی چارہ,بہن|بیٹا|بیٹی
UNIT_06,intermediate,Type B,Complex Sentences,Family Relations,بہن,behen,sister,Noun,F,Hindi/Sanskrit,میری بہن پڑھ رہی ہے,meri behen parh rahi hai,My sister is studying,بہنوں|بہنیں,بھائی|بیٹی|ماں
UNIT_07,intermediate,Type B,Conditional Tense,Social Situations,اگر,agar,if,Conjunction,N,Persian,اگر بارش ہوئی تو میں نہیں آؤں گا,agar barish hui to main nahi aaoon ga,If it rains then I won't come,اگرچہ|تاکہ,کیونکہ|لیکن|مگر
UNIT_07,intermediate,Type B,Conditional Tense,Social Situations,شاید,shayad,maybe/perhaps,Adverb,N,Persian,شاید وہ کل آئے,shayad woh kal aaye,Maybe he will come tomorrow,یقینی|ضرور,ہرگز|کبھی نہیں|بالکل
UNIT_08,advanced,Type C,Literary Expressions,Abstract Concepts,خوابیدہ,khwabida,asleep/dormant,Adjective,M,Persian,اس کی صلاحیتیں خوابیدہ ہیں,us ki salahiyatain khwabida hain,His talents are dormant,خواب|نیند,بیدار|جاگتا|چوکنا
UNIT_08,advanced,Type C,Literary Expressions,Abstract Concepts,کوشش,koshish,effort/attempt,Noun,F,Arabic,کوشش کرنے والوں کی کبھی ہار نہیں ہوتی,koshish karne walon ki kabhi haar nahi hoti,Those who try never truly lose,محنت|جدوجہد,سستی|کاہلی|ہار
UNIT_08,advanced,Type C,Literary Expressions,Abstract Concepts,امید,umeed,hope,Noun,F,Arabic,امید پر دنیا قائم ہے,umeed par dunya qaaim hai,The world stands on hope,اُمیدوار|توقع,مایوسی|نااُمیدی|افسوس
UNIT_09,advanced,Type C,Classical Poetry,Philosophical Terms,استعارہ,istiara,metaphor,Noun,M,Arabic,شاعر نے خوبصورت استعارے استعمال کیے,shair ne khoobsurat istiare istemaal kiye,The poet used beautiful metaphors,استعاراتی|استعارے,علامت|تشبیہ|کنایہ
UNIT_09,advanced,Type C,Classical Poetry,Philosophical Terms,فلسفہ,falsafa,philosophy,Noun,M,Arabic,اقبال کا فلسفہ خودی کا تصور تھا,Iqbal ka falsafa khudi ka tasawwur tha,Iqbal's philosophy was the concept of self,فلسفی|فلسفیانہ,عقیدہ|نظریہ|خیال
UNIT_10,advanced,Type C,Formal Writing,Academic Language,تحقیق,tahqeeq,research,Noun,F,Arabic,وہ سائنسی تحقیق کر رہے ہیں,woh sayansi tahqeeq kar rahe hain,They are doing scientific research,تحقیقات|محقق,جانچ|تلاش|تفتیش
UNIT_10,advanced,Type C,Formal Writing,Academic Language,تجزیہ,tajziya,analysis,Noun,M,Arabic,اس کا تجزیہ بہت گہرا تھا,us ka tajziya bohat gehra tha,His analysis was very deep,تجزیات|تجزیاتی,تبصرہ|جائزہ|رائے
